,dp,eq_odds_1,eq_odds_0,eq_odds,up_acc,p_acc,acc-score,del_dp,del_eo,lambda,seed
0,0.6075028244814363,0.5577557755776308,0.9502529510961256,0.7540043633368783,0.44224422442244227,0.9502529510961214,0.7784598214285714,0.39249717551856367,0.6075028244813401,0.1,0
0,0.5736761604630238,0.5208681135226176,0.9471919530595183,0.734030033291068,0.4791318864774624,0.9471919530595139,0.7907366071428571,0.4263238395369762,0.5736761604629322,0.1,1
0,0.8132735895394252,0.7529215358931965,0.9396479463537352,0.8462847411234659,0.24707846410684475,0.9396479463537301,0.7081473214285714,0.18672641046057484,0.8132735895392943,0.1,2
0,0.3704279479896696,0.3545150501673321,0.9840871021775558,0.6693010761724439,0.6454849498327759,0.9840871021775545,0.87109375,0.6295720520103304,0.370427947989609,0.1,3
0,0.4647603428579439,0.3886097152429835,0.9238493723849436,0.6562295438139636,0.6113902847571189,0.9238493723849373,0.8197544642857143,0.5352396571420561,0.4647603428578723,0.1,4
0,0.5370042554858825,0.4707846410685358,0.9337803855825705,0.7022825133255531,0.5292153589315526,0.9337803855825649,0.7985491071428571,0.4629957445141175,0.5370042554857982,0.1,5
0,0.19068026867895782,0.16387959866234725,0.9731993299832519,0.5685394643227996,0.8361204013377926,0.9731993299832495,0.9274553571428571,0.8093197313210422,0.19068026867892812,0.1,6
0,0.4235678993608877,0.343434343434454,0.9198664440734624,0.6316503937539582,0.6565656565656566,0.9198664440734557,0.8325892857142857,0.5764321006391123,0.4235678993608231,0.1,7
0,0.2823364417688291,0.22390572390585461,0.9415692821368997,0.5827375030213772,0.7760942760942761,0.9415692821368948,0.88671875,0.7176635582311709,0.2823364417687865,0.1,8
0,0.4487535398131425,0.3940397350994381,0.9452861952862,0.669662965192819,0.6059602649006622,0.9452861952861953,0.8309151785714286,0.5512464601868575,0.4487535398130726,0.1,9
0,0.33001355990075665,0.25876460767958953,0.9287510477787151,0.5937578277291523,0.7412353923205343,0.9287510477787091,0.8660714285714286,0.6699864400992434,0.33001355990070746,1.0,0
0,0.2247215165135822,0.18438538205993615,0.9596638655462219,0.5720246238030791,0.8156146179401993,0.9596638655462185,0.9112723214285714,0.7752784834864178,0.22472151651354813,1.0,1
0,0.5444992842219569,0.4824707846411549,0.9379715004191167,0.7102211425301358,0.5175292153589316,0.9379715004191115,0.7974330357142857,0.4555007157780431,0.5444992842218712,1.0,2
0,0.1768456375838926,0.1500000000001417,0.9731543624161096,0.5615771812081256,0.85,0.9731543624161074,0.9319196428571429,0.8231543624161074,0.17684563758386534,1.0,3
0,0.05539338542434513,0.043697478991757466,0.9883040935672525,0.516000786279505,0.9563025210084034,0.9883040935672515,0.9776785714285714,0.9446066145756549,0.055393385424336854,1.0,4
