,dp,eq_odds_1,eq_odds_0,eq_odds,up_acc,p_acc,acc-score,del_dp,del_eo,lambda,seed
0,0.9664977607703791,0.9648241206030209,0.9983263598326362,0.9815752402178286,0.035175879396984924,0.998326359832636,0.6774553571428571,0.03350223922962091,0.9664977607702172,0.1,0
0,0.9529852838415157,0.9353233830845878,0.9823380992430629,0.9588307411638254,0.06467661691542288,0.9823380992430614,0.6735491071428571,0.04701471615848428,0.952985283841359,0.1,1
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6702008928571429,0.0,0.9999999999998307,0.1,2
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6674107142857143,0.0,0.9999999999998321,0.1,3
0,0.9435198263180175,0.9334442595673987,0.9899244332493711,0.9616843464083848,0.06655574043261231,0.9899244332493703,0.6802455357142857,0.05648017368198259,0.9435198263178612,0.1,4
0,0.8856672268813488,0.8797996661102037,0.9941324392288353,0.9369660526695195,0.12020033388981637,0.9941324392288349,0.7020089285714286,0.11433277311865124,0.8856672268812014,0.1,5
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6662946428571429,0.0,0.9999999999998327,0.1,6
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6651785714285714,0.0,0.9999999999998332,0.1,7
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6646205357142857,0.0,0.9999999999998336,0.1,8
0,0.9958320028234819,0.9882943143812729,0.9924623115577895,0.9903783129695312,0.011705685618729096,0.992462311557789,0.6651785714285714,0.004167997176518041,0.9958320028233161,0.1,9
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,1.0,0
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6674107142857143,0.0,0.9999999999998321,1.0,1
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6674107142857143,0.0,0.9999999999998321,1.0,2
0,1.0,1.0,1.0,1.0,0.0,1.0,0.66796875,0.0,0.9999999999998319,1.0,3
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6668526785714286,0.0,0.9999999999998325,1.0,4
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6646205357142857,0.0,0.9999999999998336,1.0,5
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6690848214285714,0.0,0.9999999999998312,1.0,6
0,1.0,1.0,1.0,1.0,0.0,1.0,0.66796875,0.0,0.9999999999998319,1.0,7
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6651785714285714,0.0,0.9999999999998332,1.0,8
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6629464285714286,0.0,0.9999999999998344,1.0,9
0,0.9554723799690242,0.9362416107382657,0.9807692307692324,0.9585054207537491,0.06375838926174497,0.9807692307692307,0.67578125,0.04452762003097574,0.9554723799688655,10.0,0
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6657366071428571,0.0,0.999999999999833,10.0,1
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6646205357142857,0.0,0.9999999999998336,10.0,2
0,0.9983164983164983,0.9983164983164986,1.0,0.9991582491582494,0.0016835016835016834,1.0,0.6690848214285714,0.0016835016835016834,0.9983164983163302,10.0,3
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6685267857142857,0.0,0.9999999999998316,10.0,4
0,0.9850169393806666,0.9749582637729591,0.9899413243922892,0.9824497940826242,0.025041736227045076,0.9899413243922883,0.6674107142857143,0.014983060619333424,0.9850169393805028,10.0,5
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6646205357142857,0.0,0.9999999999998336,10.0,6
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6662946428571429,0.0,0.9999999999998327,10.0,7
0,1.0,1.0,1.0,1.0,0.0,1.0,0.6685267857142857,0.0,0.9999999999998316,10.0,8
0,0.9850111856823266,0.9833333333333361,0.9983221476510068,0.9908277404921715,0.016666666666666666,0.9983221476510067,0.6696428571428571,0.014988814317673379,0.9850111856821626,10.0,9
