,dp,eq_odds_1,eq_odds_0,eq_odds,up_acc,p_acc,acc-score,del_dp,del_eo,lambda,seed
0,0.0,1.6842083283563625e-13,1.0,0.5000000000000842,1.0,1.0,1.0,1.0,0.0,0.1,0
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,0.1,1
0,0.0,1.6620038678638593e-13,1.0,0.500000000000083,1.0,1.0,1.0,1.0,0.0,0.1,2
0,0.0,1.673106098110111e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,0.1,3
0,0.0,1.6564527527407336e-13,1.0,0.5000000000000828,1.0,1.0,1.0,1.0,0.0,0.1,4
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,0.1,5
0,0.0,1.6842083283563625e-13,1.0,0.5000000000000842,1.0,1.0,1.0,1.0,0.0,0.1,6
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,0.1,7
0,0.0,1.680877659282487e-13,1.0,0.500000000000084,1.0,1.0,1.0,1.0,0.0,0.1,8
0,0.0,1.667554982986985e-13,1.0,0.5000000000000834,1.0,1.0,1.0,1.0,0.0,0.1,9
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,1.0,0
0,0.0,1.6753265441593612e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,1.0,1
0,0.0,1.6642243139131097e-13,1.0,0.5000000000000833,1.0,1.0,1.0,1.0,0.0,1.0,2
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,1.0,3
0,0.0,1.673106098110111e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,1.0,4
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,1.0,5
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,1.0,6
0,0.0,1.680877659282487e-13,1.0,0.500000000000084,1.0,1.0,1.0,1.0,0.0,1.0,7
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,1.0,8
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,1.0,9
0,0.0,1.673106098110111e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,10.0,0
0,0.0,1.6753265441593612e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,10.0,1
0,0.0,1.6642243139131097e-13,1.0,0.5000000000000833,1.0,1.0,1.0,1.0,0.0,10.0,2
0,0.0,1.667554982986985e-13,1.0,0.5000000000000834,1.0,1.0,1.0,1.0,0.0,10.0,3
0,0.0,1.673106098110111e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,10.0,4
0,0.0,1.6620038678638593e-13,1.0,0.500000000000083,1.0,1.0,1.0,1.0,0.0,10.0,5
0,0.0,1.6753265441593612e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,10.0,6
0,0.0,1.645350522494482e-13,1.0,0.5000000000000823,1.0,1.0,1.0,1.0,0.0,10.0,7
0,0.0,1.687538997430238e-13,1.0,0.5000000000000844,1.0,1.0,1.0,1.0,0.0,10.0,8
0,0.0,1.673106098110111e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,10.0,9
0,0.0,1.6753265441593612e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,100.0,0
0,0.0,1.6842083283563625e-13,1.0,0.5000000000000842,1.0,1.0,1.0,1.0,0.0,100.0,1
0,0.0,1.667554982986985e-13,1.0,0.5000000000000834,1.0,1.0,1.0,1.0,0.0,100.0,2
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,100.0,3
0,0.0,1.6642243139131097e-13,1.0,0.5000000000000833,1.0,1.0,1.0,1.0,0.0,100.0,4
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,100.0,5
0,0.0,1.667554982986985e-13,1.0,0.5000000000000834,1.0,1.0,1.0,1.0,0.0,100.0,6
0,0.0,1.6620038678638593e-13,1.0,0.500000000000083,1.0,1.0,1.0,1.0,0.0,100.0,7
0,0.0,1.6842083283563625e-13,1.0,0.5000000000000842,1.0,1.0,1.0,1.0,0.0,100.0,8
0,0.0,1.667554982986985e-13,1.0,0.5000000000000834,1.0,1.0,1.0,1.0,0.0,100.0,9
0,0.0,1.6753265441593612e-13,1.0,0.5000000000000837,1.0,1.0,1.0,1.0,0.0,1000.0,0
0,0.0,1.6564527527407336e-13,1.0,0.5000000000000828,1.0,1.0,1.0,1.0,0.0,1000.0,1
0,0.0,1.6786572132332367e-13,1.0,0.5000000000000839,1.0,1.0,1.0,1.0,0.0,1000.0,2
0,0.0,1.6620038678638593e-13,1.0,0.500000000000083,1.0,1.0,1.0,1.0,0.0,1000.0,3
0,0.0,1.6697754290362354e-13,1.0,0.5000000000000835,1.0,1.0,1.0,1.0,0.0,1000.0,4
0,0.0,1.687538997430238e-13,1.0,0.5000000000000844,1.0,1.0,1.0,1.0,0.0,1000.0,5
0,0.0,1.6842083283563625e-13,1.0,0.5000000000000842,1.0,1.0,1.0,1.0,0.0,1000.0,6
0,0.0,1.6786572132332367e-13,1.0,0.5000000000000839,1.0,1.0,1.0,1.0,0.0,1000.0,7
0,0.0,1.6842083283563625e-13,1.0,0.5000000000000842,1.0,1.0,1.0,1.0,0.0,1000.0,8
0,0.0,1.6786572132332367e-13,1.0,0.5000000000000839,1.0,1.0,1.0,1.0,0.0,1000.0,9
